ID,revolutions,humidity,vibration
1,93.744,73.999,18
1,93.74,73.999,18
1,93.736,73.998,18
1,93.732,73.998,18
1,93.729,73.998,18
1,93.725,73.997,18.01
1,93.721,73.997,18.01
1,93.717,73.997,18.01
1,93.713,73.996,18.01
1,93.709,73.996,18.01
1,93.705,73.996,18
1,93.702,73.995,18.01
1,93.698,73.995,18.01
1,93.694,73.995,18.01
1,93.69,73.994,18.01
1,93.686,73.994,18.02
1,93.682,73.994,18.02
1,93.678,73.993,18.02
1,93.675,73.993,18.02
1,93.671,73.993,18.02
1,93.667,73.992,18
1,93.663,73.992,18.02
1,93.659,73.992,18.02
1,93.655,73.992,18.02
1,93.651,73.991,18.02
1,93.648,73.991,18.03
1,93.644,73.991,18.03
1,93.64,73.99,18.03
1,93.636,73.99,18.03
1,93.632,73.99,18.03
1,93.628,73.989,18
1,93.624,73.989,18.03
1,93.621,73.989,18.03
1,93.617,73.988,18.03
1,93.613,73.988,18.03
1,93.609,73.988,18.04
1,93.605,73.987,18.04
1,93.601,73.987,18.04
1,93.597,73.987,18.04
1,93.594,73.986,18.04
1,93.59,73.986,18
1,93.586,73.986,18.04
1,93.582,73.985,18.04
1,93.578,73.985,18.04
1,93.574,73.985,18.04
1,93.57,73.984,18.05
1,93.567,73.984,18.05
1,93.563,73.984,18.05
1,93.559,73.983,18.05
1,93.555,73.983,18.05
1,93.551,73.983,18
1,93.547,73.982,18.05
1,93.543,73.982,18.05
1,93.54,73.982,18.05
1,93.536,73.981,18.05
1,93.532,73.981,18.06
1,93.528,73.981,18.06
1,93.524,73.98,18.06
1,93.52,73.98,18.06
2,93.516,73.98,18.06
2,93.513,73.979,18
2,93.509,73.979,18.06
2,93.505,73.979,18.06
2,93.501,73.978,18.06
2,93.497,73.978,18.06
2,93.493,73.978,18.07
2,93.489,73.977,18.07
2,93.486,73.977,18.07
2,93.482,73.977,18.07
2,93.478,73.977,18.07
2,93.474,73.976,18
2,93.47,73.976,18.07
2,93.466,73.976,18.07
2,93.462,73.975,18.07
2,93.459,73.975,18.07
2,93.455,73.975,18.08
2,93.451,73.974,18.08
2,93.447,73.974,18.08
2,93.443,73.974,18.08
2,93.439,73.973,18.08
2,93.435,73.973,18
2,93.432,73.973,18.08
2,93.428,73.972,18.08
2,93.424,73.972,18.08
2,93.42,73.972,18.08
2,93.416,73.971,18.09
2,93.412,73.971,18.09
2,93.408,73.971,18.09
2,93.404,73.97,18.09
2,93.401,73.97,18.09
2,93.397,73.97,18
2,93.393,73.969,18.09
2,93.389,73.969,18.09
2,93.385,73.969,18.09
2,93.381,73.968,18.09
2,93.377,73.968,18.1
2,93.374,73.968,18.1
2,93.37,73.967,18.1
2,93.366,73.967,18.1
2,93.362,73.967,18.1
2,93.358,73.966,18
2,93.354,73.966,18.1
2,93.35,73.966,18.1
2,93.347,73.965,18.1
2,93.343,73.965,18.1
2,93.339,73.965,18.11
2,93.335,73.964,18.11
2,93.331,73.964,18.11
2,93.327,73.964,18.11
2,93.323,73.963,18.11
2,93.32,73.963,18
2,93.316,73.963,18.11
2,93.312,73.962,18.11
2,93.308,73.962,18.11
2,93.304,73.962,18.11
2,93.3,73.962,18.12
2,93.296,73.961,18.12
2,93.293,73.961,18.12
2,93.289,73.961,18.12
3,93.285,73.96,18.12
3,93.281,73.96,18
3,93.277,73.96,18.12
3,93.273,73.959,18.12
3,93.269,73.959,18.12
3,93.266,73.959,18.12
3,93.262,73.958,18.13
3,93.258,73.958,18.13
3,93.254,73.958,18.13
3,93.25,73.957,18.13
3,93.246,73.957,18.13
3,93.242,73.957,18.13
3,93.239,73.956,18.13
3,93.235,73.956,18.13
3,93.231,73.956,18.13
3,93.227,73.955,18.13
3,93.223,73.955,18.14
3,93.219,73.955,18.14
3,93.215,73.954,18.14
3,93.212,73.954,18.14
3,93.208,73.954,18.14
3,93.204,73.953,18.14
3,93.2,73.953,18.14
3,93.196,73.953,18.14
3,93.192,73.952,18.14
3,93.188,73.952,18.14
3,93.185,73.952,18.15
3,93.181,73.951,18.15
3,93.177,73.951,18.15
3,93.173,73.951,18.15
3,93.169,73.95,18.15
3,93.165,73.95,18.15
3,93.161,73.95,18.15
3,93.158,73.949,18.15
3,93.154,73.949,18.15
3,93.15,73.949,18.15
3,93.146,73.948,18.16
3,93.142,73.948,18.16
3,93.138,73.948,18.16
3,93.134,73.947,18.16
3,93.131,73.947,18.16
3,93.127,73.947,18.16
3,93.123,73.947,18.16
3,93.119,73.946,18.16
3,93.115,73.946,18.16
3,93.111,73.946,18.16
3,93.107,73.945,18.17
3,93.104,73.945,18.17
3,93.1,73.945,18.17
3,93.096,73.944,18.17
3,93.092,73.944,18.17
3,93.088,73.944,18.17
